,month_id,Date,divisor
0,196710,1967-10-31,4684471.415069222
1,196711,1967-11-30,4685126.934840426
2,196712,1967-12-31,4753759.079247435
3,196801,1968-01-31,4762657.903295751
4,196802,1968-02-29,4760194.045154432
5,196803,1968-03-31,4759668.179046563
6,196804,1968-04-30,4763181.00215186
7,196805,1968-05-31,4768781.485610052
8,196806,1968-06-30,4763699.450190801
9,196807,1968-07-31,4759642.764605075
10,196808,1968-08-31,4766107.446768157
11,196809,1968-09-30,4748949.477695529
12,196810,1968-10-31,4740042.834348709
13,196811,1968-11-30,4743930.51640214
14,196812,1968-12-31,4816172.672949162
15,196901,1969-01-31,4826726.946412969
16,196902,1969-02-28,4830031.13344543
17,196903,1969-03-31,4835265.193084425
18,196904,1969-04-30,4831213.774230881
19,196905,1969-05-31,4850658.689348541
20,196906,1969-06-30,4847596.828625524
21,196907,1969-07-31,4859986.016280083
22,196908,1969-08-31,4852745.1261648
23,196909,1969-09-30,4848762.181862113
24,196910,1969-10-31,4853677.532394077
25,196911,1969-11-30,4858619.198379704
26,196912,1969-12-31,4918677.297414729
27,197001,1970-01-31,4916882.168901435
28,197002,1970-02-28,4925889.399441341
29,197003,1970-03-31,4932386.750390494
30,197004,1970-04-30,4980795.586972523
31,197005,1970-05-31,4948572.856792946
32,197006,1970-06-30,4959706.727000825
33,197007,1970-07-31,4957353.569827034
34,197008,1970-08-31,4954968.513861629
35,197009,1970-09-30,4956459.920882318
36,197010,1970-10-31,4957871.074324325
37,197011,1970-11-30,4999812.260607798
38,197012,1970-12-31,5057628.005968529
39,197101,1971-01-31,5065308.059553609
40,197102,1971-02-28,5059532.378552971
41,197103,1971-03-31,5065791.075166983
42,197104,1971-04-30,5063221.72979798
43,197105,1971-05-31,5061290.412024491
44,197106,1971-06-30,5059723.009027082
45,197107,1971-07-31,5055216.854990584
46,197108,1971-08-31,5067415.240331213
47,197109,1971-09-30,5070938.112034777
48,197110,1971-10-31,5069768.531783933
49,197111,1971-11-30,5072399.708745612
50,197112,1971-12-31,5157578.087961602
51,197201,1972-01-31,5153534.162738118
52,197202,1972-02-29,5157200.385896594
53,197203,1972-03-31,5158338.388526119
54,197204,1972-04-30,5159746.0353394635
55,197205,1972-05-31,5157865.233269424
56,197206,1972-06-30,5162273.569628524
57,197207,1972-07-31,5161939.507868516
58,197208,1972-08-31,5162912.250202538
59,197209,1972-09-30,5222283.95409317
60,197210,1972-10-31,5212251.009925614
61,197211,1972-11-30,5210035.6614811
62,197212,1972-12-31,5308743.662642948
63,197301,1973-01-31,5303519.222938033
64,197302,1973-02-28,5295457.902041547
65,197303,1973-03-31,5302057.243095409
66,197304,1973-04-30,5302838.296952416
67,197305,1973-05-31,5378974.804073368
68,197306,1973-06-30,5369768.991583541
69,197307,1973-07-31,5368601.000854741
70,197308,1973-08-31,5374886.464028777
71,197309,1973-09-30,5378300.696301761
72,197310,1973-10-31,5377519.508380275
73,197311,1973-11-30,5393287.937031055
74,197312,1973-12-31,5394247.391081497
75,197401,1974-01-31,5395910.412136274
76,197402,1974-02-28,5392756.724173768
77,197403,1974-03-31,5395301.422510108
78,197404,1974-04-30,5402332.443112612
79,197405,1974-05-31,5409159.771711732
80,197406,1974-06-30,5400296.941860465
81,197407,1974-07-31,5396141.071428571
82,197408,1974-08-31,5399242.71049896
83,197409,1974-09-30,5397555.317516525
84,197410,1974-10-31,5457534.559370771
85,197411,1974-11-30,5471780.975775332
86,197412,1974-12-31,5483852.794997083
87,197501,1975-01-31,5482204.285897469
88,197502,1975-02-28,5509160.161007974
89,197503,1975-03-31,5554749.407032757
90,197504,1975-04-30,5569042.225577014
91,197505,1975-05-31,5588182.690742014
92,197506,1975-06-30,5596335.786267763
93,197507,1975-07-31,5600602.977464789
94,197508,1975-08-31,5602027.0062854625
95,197509,1975-09-30,5607159.218028167
96,197510,1975-10-31,5624063.933355077
97,197511,1975-11-30,5631563.96126291
98,197512,1975-12-31,5656248.667396637
99,197601,1976-01-31,5684259.805083683
100,197602,1976-02-29,5699793.401612611
101,197603,1976-03-31,5718775.440000256
102,197604,1976-04-30,5722290.538639222
103,197605,1976-05-31,5733752.707626272
104,197606,1976-06-30,5746378.196887017
105,197607,1976-07-31,6030553.427725185
106,197608,1976-08-31,6036207.99587181
107,197609,1976-09-30,6045026.6197743565
108,197610,1976-10-31,6059850.425221566
109,197611,1976-11-30,6046490.206591385
110,197612,1976-12-31,6096677.5396350045
111,197701,1977-01-31,6097358.789423294
112,197702,1977-02-28,6102224.1227960335
113,197703,1977-03-31,6115388.352654711
114,197704,1977-04-30,6122696.436327784
115,197705,1977-05-31,6154968.012355347
116,197706,1977-06-30,6172546.559463181
117,197707,1977-07-31,6179402.9152382985
118,197708,1977-08-31,6190924.588692505
119,197709,1977-09-30,6197103.35592151
120,197710,1977-10-31,6195883.1874976475
121,197711,1977-11-30,6213418.47989205
122,197712,1977-12-31,6251120.674970992
123,197801,1978-01-31,6240535.899859944
124,197802,1978-02-28,6239535.4759072205
125,197803,1978-03-31,6242541.006389878
126,197804,1978-04-30,6260034.0278574
127,197805,1978-05-31,6268863.870066102
128,197806,1978-06-30,6278967.605374935
129,197807,1978-07-31,6290383.857891339
130,197808,1978-08-31,6299531.92722401
131,197809,1978-09-30,6305938.858070618
132,197810,1978-10-31,6361146.548204046
133,197811,1978-11-30,6379069.34146999
134,197812,1978-12-31,6408612.40990935
135,197901,1979-01-31,6415148.593390373
136,197902,1979-02-28,6443425.6544030495
137,197903,1979-03-31,6454221.847665985
138,197904,1979-04-30,6458568.112056444
139,197905,1979-05-31,6473384.745188035
140,197906,1979-06-30,6470887.190787593
141,197907,1979-07-31,6490008.36244116
142,197908,1979-08-31,6502704.702936335
143,197909,1979-09-30,6501729.244420052
144,197910,1979-10-31,6506622.865105088
145,197911,1979-11-30,6528409.663586674
146,197912,1979-12-31,6553790.287589581
147,198001,1980-01-31,6574056.038268885
148,198002,1980-02-29,6579096.2041053595
149,198003,1980-03-31,6583676.695412938
150,198004,1980-04-30,6608431.243099716
151,198005,1980-05-31,6623518.523548517
152,198006,1980-06-30,6629558.870659294
153,198007,1980-07-31,6631270.858778184
154,198008,1980-08-31,6643081.0349259935
155,198009,1980-09-30,6677483.733779562
156,198010,1980-10-31,6667955.654424919
157,198011,1980-11-30,6696778.956023229
158,198012,1980-12-31,6772422.287397698
159,198101,1981-01-31,6784704.006336456
160,198102,1981-02-28,6798197.17134312
161,198103,1981-03-31,6781972.763327206
162,198104,1981-04-30,6807045.921723453
163,198105,1981-05-31,6832988.662093329
164,198106,1981-06-30,6862133.939601117
165,198107,1981-07-31,6887633.879661379
166,198108,1981-08-31,6885530.780617063
167,198109,1981-09-30,6883069.5676966775
168,198110,1981-10-31,6885656.669010228
169,198111,1981-11-30,6916337.20188108
170,198112,1981-12-31,6946686.989779184
171,198201,1982-01-31,6950763.515664227
172,198202,1982-02-28,6955332.153829616
173,198203,1982-03-31,6956320.35006985
174,198204,1982-04-30,6963542.020657986
175,198205,1982-05-31,6984573.675623177
176,198206,1982-06-30,7021851.228788432
177,198207,1982-07-31,6943805.804932517
178,198208,1982-08-31,7040585.562244405
179,198209,1982-09-30,7070058.128321707
180,198210,1982-10-31,7089571.25775933
181,198211,1982-11-30,7102421.712140898
182,198212,1982-12-31,7155308.58486206
183,198301,1983-01-31,7157462.378699242
184,198302,1983-02-28,7137539.3497568555
185,198303,1983-03-31,7159872.259904549
186,198304,1983-04-30,7153844.977800755
187,198305,1983-05-31,7163943.901256235
188,198306,1983-06-30,7205715.839331389
189,198307,1983-07-31,7223301.684762549
190,198308,1983-08-31,7221501.459854014
191,198309,1983-09-30,7276060.961115795
192,198310,1983-10-31,7291690.037068174
193,198311,1983-11-30,7300426.979417067
194,198312,1983-12-31,7281119.444612865
195,198401,1984-01-31,7307723.166421884
196,198402,1984-02-29,7242013.848210875
197,198403,1984-03-31,7256242.792750346
198,198404,1984-04-30,7253131.091065291
199,198405,1984-05-31,7269815.878445699
200,198406,1984-06-30,7184095.756626192
201,198407,1984-07-31,7219025.546760919
202,198408,1984-08-31,7203645.849082073
203,198409,1984-09-30,7207108.189343769
204,198410,1984-10-31,7202760.709555061
205,198411,1984-11-30,7176930.372753392
206,198412,1984-12-31,7161023.322769672
207,198501,1985-01-31,7158149.6089183325
208,198502,1985-02-28,7161743.514736726
209,198503,1985-03-31,7138004.924997233
210,198504,1985-04-30,7147513.963882555
211,198505,1985-05-31,7139159.492877868
212,198506,1985-06-30,7059775.086004691
213,198507,1985-07-31,7057159.751466583
214,198508,1985-08-31,7050341.306393469
215,198509,1985-09-30,7025494.271748682
216,198510,1985-10-31,7025677.2264513755
217,198511,1985-11-30,6987076.635999407
218,198512,1985-12-31,7008952.22749432
219,198601,1986-01-31,7010288.771956747
220,198602,1986-02-28,7005211.876432223
