,month_id,Date,divisor
0,196001,1960-01-01,4100039.2566344994
1,196002,1960-02-01,4308199.305306561
2,196003,1960-03-01,4302318.20587968
3,196004,1960-04-01,4175651.37605419
4,196005,1960-05-01,4333350.432361463
5,196006,1960-06-01,4258946.449310164
6,196007,1960-07-01,4267385.551352077
7,196008,1960-08-01,4320800.746549283
8,196009,1960-09-01,4189725.530240832
9,196010,1960-10-01,4277405.821933743
10,196011,1960-11-01,4307959.1569767445
11,196012,1960-12-01,4467515.248679577
12,196101,1961-01-01,4525516.971910583
13,196102,1961-02-01,4475952.513270066
14,196103,1961-03-01,4473018.084256082
15,196104,1961-04-01,4381258.427008962
16,196105,1961-05-01,4419163.180451128
17,196106,1961-06-01,4346626.49916184
18,196107,1961-07-01,4509307.928063875
19,196108,1961-08-01,4440558.278322761
20,196109,1961-09-01,4384270.095524829
21,196110,1961-10-01,4454778.614889706
22,196111,1961-11-01,4428626.775288408
23,196112,1961-12-01,4423876.780735991
24,196201,1962-01-01,4415889.887975967
25,196202,1962-02-01,4416712.604136998
26,196203,1962-03-01,4390008.517392232
27,196204,1962-04-01,4251439.774981631
28,196205,1962-05-01,4200783.498372758
29,196206,1962-06-01,4346080.572532806
30,196207,1962-07-01,4523293.5240038615
31,196208,1962-08-01,4473073.242053999
32,196209,1962-09-01,4287189.143318965
33,196210,1962-10-01,4452444.170598184
34,196211,1962-11-01,4527775.669345437
35,196212,1962-12-01,4407841.515006386
36,196301,1963-01-01,4454829.782124192
37,196302,1963-02-01,4265283.306469964
38,196303,1963-03-01,4437014.260697426
39,196304,1963-04-01,4427838.4834933095
40,196305,1963-05-01,4400813.977402338
41,196306,1963-06-01,4315112.936813579
42,196307,1963-07-01,4365606.691581005
43,196308,1963-08-01,4457466.760002817
44,196309,1963-09-01,4308489.096602608
45,196310,1963-10-01,4436846.549363275
46,196311,1963-11-01,4392729.12679014
47,196312,1963-12-01,4439674.872758527
48,196401,1964-01-01,4464675.913996075
49,196402,1964-02-01,4500693.173375113
50,196403,1964-03-01,4488702.223984771
51,196404,1964-04-01,4451128.710595447
52,196405,1964-05-01,4460288.546054262
53,196406,1964-06-01,4553172.22862662
54,196407,1964-07-01,4476596.275684931
55,196408,1964-08-01,4469009.875762195
56,196409,1964-09-01,4521876.587039923
57,196410,1964-10-01,4484569.522687095
58,196411,1964-11-01,4407129.726269897
59,196412,1964-12-01,4550304.07634588
60,196501,1965-01-01,4599489.096609382
61,196502,1965-02-01,4557161.0345821325
62,196503,1965-03-01,4495708.42162847
63,196504,1965-04-01,4594575.01278845
64,196505,1965-05-01,4489226.787914426
65,196506,1965-06-01,4492107.867621119
66,196507,1965-07-01,4558053.196767165
67,196508,1965-08-01,4575350.573765754
68,196509,1965-09-01,4569791.041759902
69,196510,1965-10-01,4598027.451717912
70,196511,1965-11-01,4512787.973412913
71,196512,1965-12-01,4614998.171263491
72,196601,1966-01-01,4562239.063169739
73,196602,1966-02-01,4513004.462455497
74,196603,1966-03-01,4591780.15020252
75,196604,1966-04-01,4548025.4905840615
76,196605,1966-05-01,4546382.48804448
77,196606,1966-06-01,4517410.895015106
78,196607,1966-07-01,4467500.980749068
79,196608,1966-08-01,4386522.75883447
80,196609,1966-09-01,4505216.66639892
81,196610,1966-10-01,4763519.709419163
82,196611,1966-11-01,4552829.566150142
83,196612,1966-12-01,4590288.578937662
84,196701,1967-01-01,4751985.066607459
85,196702,1967-02-01,4608478.828983516
86,196703,1967-03-01,4676941.190449564
87,196704,1967-04-01,4801474.589105101
88,196705,1967-05-01,4506074.368857328
89,196706,1967-06-01,4645328.002296839
90,196707,1967-07-01,4771725.012095474
91,196708,1967-08-01,4636734.576410202
92,196709,1967-09-01,4720015.015395053
93,196710,1967-10-01,4598284.1927137785
94,196711,1967-11-01,4752880.767051587
95,196712,1967-12-01,4812121.074239245
96,196801,1968-01-01,4622343.907828283
97,196802,1968-02-01,4687283.084022039
98,196803,1968-03-01,4818970.36423841
99,196804,1968-04-01,4858773.220445281
100,196805,1968-05-01,4808249.279656687
101,196806,1968-06-01,4720091.455223881
102,196807,1968-07-01,4638160.357053839
103,196808,1968-08-01,4802541.8630873505
104,196809,1968-09-01,4813175.1517769005
105,196810,1968-10-01,4722233.424855491
106,196811,1968-11-01,4877606.736835863
107,196812,1968-12-01,4696785.8573943665
108,196901,1969-01-01,4874521.007352941
109,196902,1969-02-01,4669664.582512315
110,196903,1969-03-01,4942877.842396777
111,196904,1969-04-01,4945197.988647582
112,196905,1969-05-01,4797793.001912046
113,196906,1969-06-01,4777674.865089772
114,196907,1969-07-01,4712200.568841727
115,196908,1969-08-01,4921275.079634742
116,196909,1969-09-01,4777449.3109194795
117,196910,1969-10-01,4941076.248429649
118,196911,1969-11-01,4737418.844194991
119,196912,1969-12-01,4969964.131269894
120,197001,1970-01-01,4628870.800575795
121,197002,1970-02-01,5058135.627007802
122,197003,1970-03-01,4986912.85321489
123,197004,1970-04-01,4724077.443280977
124,197005,1970-05-01,4980452.960656061
125,197006,1970-06-01,4771396.655476915
126,197007,1970-07-01,5109897.598058637
127,197008,1970-08-01,5183894.163886037
128,197009,1970-09-01,5054292.685123516
129,197010,1970-10-01,4892056.026283039
130,197011,1970-11-01,5173037.839641671
131,197012,1970-12-01,5175573.800666297
132,197101,1971-01-01,5194798.767247834
133,197102,1971-02-01,5040776.002728865
134,197103,1971-03-01,5101902.638052209
135,197104,1971-04-01,5109921.347694174
136,197105,1971-05-01,4963153.1865157485
137,197106,1971-06-01,5058708.223024469
138,197107,1971-07-01,4880582.090909091
139,197108,1971-08-01,5160696.536918963
140,197109,1971-09-01,5016861.709632796
