Unnamed: 0,date,1-mo,2-mo,3-mo,6-mo,12-mo,24-mo
0,1996-01-04 00:00:00,,,0.0156372279519424,0.0162588017759901,0.0184946314552321,
1,1996-01-05 00:00:00,,,0.015472800263979,0.0163078281429808,0.0182666463432321,
2,1996-01-08 00:00:00,,,0.0152355785086067,0.0161773695846827,0.0182545582502344,
3,1996-01-09 00:00:00,,,0.017137257310408,0.0169015669571495,0.0184533918170513,
4,1996-01-10 00:00:00,,,0.01958340028609,0.0187714780628089,0.0189098574515139,
5,1996-01-11 00:00:00,,,0.0172656692471685,0.016597706970148,0.0178346692050737,
6,1996-01-12 00:00:00,,,0.016970303096678,0.016262410245578,0.0184130927037622,
7,1996-01-15 00:00:00,,,,,,
8,1996-01-16 00:00:00,,,0.0168075920061236,0.0165350123116187,0.0181578248255187,
9,1996-01-17 00:00:00,,,0.016820437256903,0.0166616700741539,0.0183468175916058,
10,1996-01-18 00:00:00,,,0.0166047546777761,0.0165036232120211,0.017883521370463,
11,1996-01-19 00:00:00,,,0.0154232945282151,0.0160085249538912,0.0178235198186938,
12,1996-01-22 00:00:00,,,0.0255784212985423,0.0163178006537916,0.0177178646711242,
13,1996-01-23 00:00:00,,,0.0137044393728812,0.0164571723375648,0.0176164248396289,
14,1996-01-24 00:00:00,,,0.0134819025381808,0.0160195841891548,0.0174464461476428,
15,1996-01-25 00:00:00,,,0.0136213377864349,0.0153351126737822,0.0170017699235485,
16,1996-01-26 00:00:00,,,0.0132175638394383,0.0153172838027641,0.0155973699690056,
17,1996-01-29 00:00:00,,,0.0127944884067477,0.0154173764730536,0.0154084708891417,
18,1996-01-30 00:00:00,,,0.0121618479690181,0.0134383021115976,0.0148430653978597,
19,1996-01-31 00:00:00,,,0.0107030418480237,0.0129195942687977,0.0149383490494522,
20,1996-02-01 00:00:00,,,0.0108797825804424,0.0129066230599147,0.0144621869866438,
21,1996-02-02 00:00:00,,,0.0125855050663266,0.013629836643115,0.0151587167578246,
22,1996-02-05 00:00:00,,,0.0136212367288411,0.0138748248552319,0.0148606548795323,
23,1996-02-06 00:00:00,,,0.0162149739585868,0.0156921284259942,0.0146901168147809,
24,1996-02-07 00:00:00,,,0.0160569921008085,0.0161318748364715,0.0146225309944463,
25,1996-02-08 00:00:00,,,0.0156573479888122,0.0153620955928784,0.0150251682216904,
26,1996-02-09 00:00:00,,,0.0174395600003412,0.016307805281581,0.0155928573532159,
27,1996-02-12 00:00:00,,,0.0168096159083597,0.0161340021536502,0.0156101033684015,
28,1996-02-13 00:00:00,,,0.0178916458970539,0.0159763099071743,0.0156329043424133,
29,1996-02-14 00:00:00,,,0.018620343230446,0.0165384060079342,0.0160121062776817,
30,1996-02-15 00:00:00,,,0.0199718579003836,0.0180442895490303,0.0168714427421015,
31,1996-02-16 00:00:00,,,0.0200982542296442,0.019485216375336,0.0172118804338389,
32,1996-02-20 00:00:00,,,0.0150609239503817,0.0207437216057848,0.0194458860953587,
33,1996-02-21 00:00:00,,,0.013716973442124,0.0188002077296603,0.0171145265958546,
34,1996-02-22 00:00:00,,,0.0159100723226453,0.0160315412988537,0.0161461211538811,
35,1996-02-23 00:00:00,,,0.0171260199453106,0.0166779445087159,0.0165791995779491,
36,1996-02-26 00:00:00,,,0.0192209618936923,0.0202204873255651,0.0178815952557941,
37,1996-02-27 00:00:00,,,0.0201357599433097,0.0202852580105076,0.0178987455751621,
38,1996-02-28 00:00:00,,,0.020290526062021,0.0204752375580016,0.0197607788472269,
39,1996-02-29 00:00:00,,,0.0219721685135421,0.0211353527862937,0.0203067746877315,
40,1996-03-01 00:00:00,,,0.0215522579739514,0.0223719424525165,0.0193194618454869,
41,1996-03-04 00:00:00,,,0.0207564968758697,0.0222956952723076,0.0189870185153957,
42,1996-03-05 00:00:00,,,0.0198529452449192,0.0198311155236655,0.0189873283720949,
43,1996-03-06 00:00:00,,,0.020924993916534,0.0204767215071006,0.0189243763435325,
44,1996-03-07 00:00:00,,,0.0204513676140766,0.0201397828610823,0.0195707386311929,
45,1996-03-08 00:00:00,,,0.0268414299767089,0.0246819988634858,0.0231312543419449,
46,1996-03-11 00:00:00,,,0.0260671281867864,0.0247052674965359,0.0222896563494875,
47,1996-03-12 00:00:00,,,0.0262846677503467,0.0245302811671007,0.0223001813015987,
48,1996-03-13 00:00:00,,,0.0262031201467187,0.0246010918672764,0.0224911247843362,
49,1996-03-14 00:00:00,,,0.0241634638567933,0.0237968296662792,0.0222478634747801,
50,1996-03-15 00:00:00,,,0.0231930569486964,0.0232028532578655,0.0219670850163823,
51,1996-03-18 00:00:00,,,0.0221202359228709,0.0219493137926944,0.014444183669979,
