"date","Skewness","Moving average"
2010-01-04,0.394759324060451,0.328189963052395
2010-01-05,0.376819708616457,0.328418819081313
2010-01-06,0.34279400475521,0.328473267287031
2010-01-07,0.338540770203562,0.328655150178152
2010-01-08,0.326651388599609,0.32909630578553
2010-01-11,0.379158426104532,0.329462017570883
2010-01-12,0.485581257529471,0.330303522703193
2010-01-13,0.376818498258501,0.33070547885737
2010-01-14,0.405129805675088,0.331400429713976
2010-01-15,0.392523790684953,0.331767346526571
2010-01-19,0.354624128896959,0.331629698833714
2010-01-20,0.358902535635501,0.331504039024198
2010-01-21,0.396301854643132,0.33157565369069
2010-01-22,0.401544819697936,0.33243145106481
2010-01-25,0.344838055508921,0.333025438646158
2010-01-26,0.379729575859954,0.333674454372012
2010-01-27,0.412755880553993,0.334546050821224
2010-01-28,0.347528708705588,0.335383048112571
2010-01-29,0.412430837065829,0.336454624384647
2010-02-01,0.402886928852437,0.337311991714367
2010-02-02,0.373867455061027,0.338092707466113
2010-02-03,0.381347650368489,0.339250301538068
2010-02-04,0.363022227293878,0.340286665710373
2010-02-05,0.234944743205375,0.34073986585252
2010-02-08,0.220465850484078,0.340599519402757
2010-02-09,0.249045254128044,0.341149559815913
2010-02-10,0.227579008190868,0.341566666064282
2010-02-11,0.224476167454346,0.341819384583156
2010-02-12,0.21939845589591,0.342072625777274
2010-02-16,0.230494468122274,0.342366701487966
2010-02-17,0.149330758783384,0.34211509308076
2010-02-18,0.222891147472523,0.342205204996747
2010-02-19,0.222219119386209,0.341709691102159
2010-02-22,0.257865933520285,0.34139171516088
2010-02-23,0.224744749712617,0.340979754029369
2010-02-24,0.185654615242846,0.340242610670606
2010-02-25,0.213462588806347,0.339594986494171
2010-02-26,0.242010867909388,0.338868398801546
2010-03-01,0.244422342115505,0.338264473835893
2010-03-02,0.343947983587834,0.338212326358605
2010-03-03,0.314547553678775,0.337826398723723
2010-03-04,0.351747651730265,0.3376141092706
2010-03-05,0.408465053182434,0.337727847228972
2010-03-08,0.419107705321541,0.337892300001932
2010-03-09,0.412940532237135,0.338243909861808
2010-03-10,0.511138136662313,0.339206118059826
2010-03-11,0.489582993336311,0.340307041579758
2010-03-12,0.40209809044387,0.340977009571372
2010-03-15,0.443112872943916,0.341883342800841
2010-03-16,0.500903400513047,0.34360249871203
2010-03-17,0.447983026392875,0.344058652408731
2010-03-18,0.493908771646024,0.343582919019921
2010-03-19,0.429417095854886,0.343366398857091
2010-03-22,0.477934727111643,0.343113368002657
2010-03-23,0.441564911731538,0.343327966587058
2010-03-24,0.574188503441941,0.344271613698514
2010-03-25,0.584671865341089,0.344954834947414
2010-03-26,0.559183657951754,0.345554245644605
2010-03-29,0.510117467579333,0.345827377145117
2010-03-30,0.476422696246275,0.346159908771382
2010-03-31,0.390453343511564,0.345539070994487
2010-04-01,0.427252039861649,0.344733777080531
2010-04-02,0.435640566752822,0.343760829979656
2010-04-05,0.438736547955092,0.342598996458034
2010-04-06,0.440841987153912,0.342391652368772
2010-04-07,0.403041191108825,0.342322939168326
2010-04-08,0.39664167494024,0.342409997010764
2010-04-09,0.391904736385,0.34245244623508
2010-04-12,0.378618337299922,0.342293535742347
2010-04-13,0.33277323369886,0.341767585189254
2010-04-14,0.427186769274422,0.341719736335845
2010-04-15,0.387324294888332,0.341628608573997
2010-04-16,0.380592136967175,0.341314197583778
2010-04-19,0.401376065015935,0.340711917632904
2010-04-20,0.40862657953454,0.339952029408822
2010-04-21,0.402039464515597,0.340146239893811
2010-04-22,0.390301511936141,0.340465971762287
2010-04-23,0.400851492860715,0.340737080565579
2010-04-26,0.381150592137941,0.341491532831125
2010-04-27,0.410951107281117,0.342509609209161
2010-04-28,0.381965130646997,0.34371295485107
2010-04-29,0.275794997425869,0.344012416288977
2010-04-30,0.200783178599662,0.344034256387017
2010-05-03,0.209908418202869,0.344194621061177
2010-05-04,0.140528629710482,0.344089191120382
2010-05-05,-0.0132911795265748,0.343400952939733
2010-05-06,-0.00880288209409492,0.342610391733322
2010-05-07,-0.135543788166572,0.341306703935937
2010-05-10,-0.177760315059221,0.339974272590415
2010-05-11,-0.294173542700084,0.338085675194906
2010-05-12,-0.266019391904089,0.336229046026612
2010-05-13,-0.179307414105737,0.334787980811649
2010-05-14,-0.149367352175498,0.333223990107399
2010-05-17,-0.191517431703366,0.331477565643537
2010-05-18,-0.229981105985816,0.329521018689488
2010-05-19,-0.379694976895185,0.326797510519591
2010-05-20,-0.45884312208216,0.323687335207716
